goos: darwin
goarch: arm64
pkg: go-microbenchmarks-benchstat/across_cases
BenchmarkEncode/sample=2000/compression=snappy/proto=prometheus.WriteRequest/encoder=vtprotobuf-2         	    6742	    874542 ns/op	    146669 bytes/message	 3604480 B/op	       2 allocs/op
BenchmarkEncode/sample=2000/compression=snappy/proto=prometheus.WriteRequest/encoder=vtprotobuf-2         	    6762	    880154 ns/op	    146526 bytes/message	 3604480 B/op	       2 allocs/op
BenchmarkEncode/sample=2000/compression=snappy/proto=prometheus.WriteRequest/encoder=vtprotobuf-2         	    6723	    850213 ns/op	    146572 bytes/message	 3604480 B/op	       2 allocs/op
BenchmarkEncode/sample=2000/compression=snappy/proto=prometheus.WriteRequest/encoder=vtprotobuf-2         	    6740	    884050 ns/op	    146614 bytes/message	 3604480 B/op	       2 allocs/op
BenchmarkEncode/sample=2000/compression=snappy/proto=prometheus.WriteRequest/encoder=vtprotobuf-2         	    6714	    866807 ns/op	    146715 bytes/message	 3604480 B/op	       2 allocs/op
BenchmarkEncode/sample=2000/compression=snappy/proto=io.prometheus.write.v2.Request/encoder=protobuf-2    	   10000	    508060 ns/op	     61320 bytes/message	  401408 B/op	       2 allocs/op
BenchmarkEncode/sample=2000/compression=snappy/proto=io.prometheus.write.v2.Request/encoder=protobuf-2    	   12406	    476460 ns/op	     61322 bytes/message	  401408 B/op	       2 allocs/op
BenchmarkEncode/sample=2000/compression=snappy/proto=io.prometheus.write.v2.Request/encoder=protobuf-2    	   12247	    477639 ns/op	     61374 bytes/message	  401408 B/op	       2 allocs/op
BenchmarkEncode/sample=2000/compression=snappy/proto=io.prometheus.write.v2.Request/encoder=protobuf-2    	   12457	    481293 ns/op	     61308 bytes/message	  401408 B/op	       2 allocs/op
BenchmarkEncode/sample=2000/compression=snappy/proto=io.prometheus.write.v2.Request/encoder=protobuf-2    	   12470	    480145 ns/op	     61325 bytes/message	  401408 B/op	       2 allocs/op
BenchmarkEncode/sample=2000/compression=snappy/proto=io.prometheus.write.v2.Request/encoder=protobuf-2    	   12385	    477105 ns/op	     61368 bytes/message	  401408 B/op	       2 allocs/op
BenchmarkEncode/sample=2000/compression=snappy/proto=io.prometheus.write.v2.Request/encoder=vtprotobuf-2  	   16200	    390571 ns/op	     61329 bytes/message	  401408 B/op	       2 allocs/op
BenchmarkEncode/sample=2000/compression=snappy/proto=io.prometheus.write.v2.Request/encoder=vtprotobuf-2  	   16058	    370243 ns/op	     61365 bytes/message	  401408 B/op	       2 allocs/op
BenchmarkEncode/sample=2000/compression=snappy/proto=io.prometheus.write.v2.Request/encoder=vtprotobuf-2  	   16251	    372554 ns/op	     61358 bytes/message	  401408 B/op	       2 allocs/op
